line_id,order_id,order_date,customer_id,customer_segment,branch_id,branch_name,city,region,latitude,longitude,sales_channel,payment_method,product_id,product_name,category,quantity,unit_price_sar,discount_pct,unit_cost_sar,revenue_sar,cost_sar,profit_sar,Year,,,
1,O000001,7/29/2024,C02876,New,B16,Khamis Mushait,Khamis Mushait,Asir,18.3064,42.729,In-store,Visa,P027,Desk Lamp 3,Home,1,69.16,0%,35.23,69.16,35.23,33.93,2024,,,
2,O000001,7/29/2024,C02876,New,B16,Khamis Mushait,Khamis Mushait,Asir,18.3064,42.729,In-store,Visa,P032,Coffee Maker 4,Home,1,400.93,0%,302.9,400.93,302.9,98.03,2024,,,
3,O000001,7/29/2024,C02876,New,B16,Khamis Mushait,Khamis Mushait,Asir,18.3064,42.729,In-store,Visa,P058,Hair Care 2,Beauty,2,45,20%,30.17,72,60.34,11.66,2024,,,
4,O000002,11/8/2025,C03469,VIP,B08,Makkah Center,Makkah,Makkah,21.3891,39.8579,Online,Mastercard,P034,Jacket 2,Fashion,1,155.78,0%,82.52,155.78,82.52,73.26,2025,,,
5,O000003,4/15/2025,C02932,VIP,B05,Jeddah North,Jeddah,Makkah,21.65,39.122,In-store,Cash,P075,Notebook Set 3,Office,1,20.22,0%,15.85,20.22,15.85,4.37,2025,,,
6,O000003,4/15/2025,C02932,VIP,B05,Jeddah North,Jeddah,Makkah,21.65,39.122,In-store,Cash,P016,Speaker 4,Electronics,2,320.21,0%,227.08,640.42,454.16,186.26,2025,,,
7,O000004,4/9/2025,C09038,Regular,B07,Jeddah South,Jeddah,Makkah,21.42,39.235,Online,Cash,P001,Headphones 1,Electronics,1,395.17,0%,182.01,395.17,182.01,213.16,2025,,,
8,O000005,2/1/2025,C09000,New,B02,Riyadh Center,Riyadh,Riyadh,24.7136,46.6753,In-store,Apple Pay,P068,Dumbbell Set 4,Sports,2,340.15,0%,174.58,680.3,349.16,331.14,2025,,,
9,O000006,5/21/2024,C07941,Regular,B06,Jeddah Center,Jeddah,Makkah,21.5433,39.1728,In-store,Apple Pay,P003,Headphones 3,Electronics,4,307.84,0%,159.42,1231.36,637.68,593.68,2024,,,
10,O000006,5/21/2024,C07941,Regular,B06,Jeddah Center,Jeddah,Makkah,21.5433,39.1728,In-store,Apple Pay,P007,Smart Watch 3,Electronics,2,466.02,0%,262.28,932.04,524.56,407.48,2024,,,
11,O000007,3/11/2025,C10609,Regular,B02,Riyadh Center,Riyadh,Riyadh,24.7136,46.6753,Online,Mada,P029,Coffee Maker 1,Home,2,754.03,5%,474.65,1432.66,949.3,483.36,2025,,,
12,O000007,3/11/2025,C10609,Regular,B02,Riyadh Center,Riyadh,Riyadh,24.7136,46.6753,Online,Mada,P015,Speaker 3,Electronics,2,446.74,20%,345.34,714.78,690.68,24.1,2025,,,
13,O000007,3/11/2025,C10609,Regular,B02,Riyadh Center,Riyadh,Riyadh,24.7136,46.6753,Online,Mada,P018,Bedding Set 2,Home,2,372.17,0%,277.26,744.34,554.52,189.82,2025,,,
14,O000008,2/11/2025,C07586,Regular,B06,Jeddah Center,Jeddah,Makkah,21.5433,39.1728,In-store,Mastercard,P066,Dumbbell Set 2,Sports,1,123.81,5%,88.83,117.62,88.83,28.79,2025,,,
15,O000008,2/11/2025,C07586,Regular,B06,Jeddah Center,Jeddah,Makkah,21.5433,39.1728,In-store,Mastercard,P007,Smart Watch 3,Electronics,1,476.05,0%,262.28,476.05,262.28,213.77,2025,,,
16,O000008,2/11/2025,C07586,Regular,B06,Jeddah Center,Jeddah,Makkah,21.5433,39.1728,In-store,Mastercard,P017,Bedding Set 1,Home,1,140.21,0%,104.25,140.21,104.25,35.96,2025,,,
17,O000008,2/11/2025,C07586,Regular,B06,Jeddah Center,Jeddah,Makkah,21.5433,39.1728,In-store,Mastercard,P018,Bedding Set 2,Home,2,396.73,0%,277.26,793.46,554.52,238.94,2025,,,
18,O000009,6/27/2024,C00738,New,B12,Dhahran Center,Dhahran,Eastern Province,26.2886,50.1139,Online,Visa,P058,Hair Care 2,Beauty,1,43.67,5%,30.17,41.49,30.17,11.32,2024,,,
19,O000009,6/27/2024,C00738,New,B12,Dhahran Center,Dhahran,Eastern Province,26.2886,50.1139,Online,Visa,P032,Coffee Maker 4,Home,2,435.26,10%,302.9,783.47,605.8,177.67,2024,,,
20,O000010,5/24/2024,C09820,Regular,B11,Khobar Center,Khobar,Eastern Province,26.2172,50.1971,In-store,Mada,P050,Fragrance 2,Beauty,2,373.85,15%,223.25,635.55,446.5,189.05,2024,,,
21,O000010,5/24/2024,C09820,Regular,B11,Khobar Center,Khobar,Eastern Province,26.2172,50.1971,In-store,Mada,P022,Cookware 2,Home,1,395.92,5%,305.68,376.12,305.68,70.44,2024,,,
22,O000011,4/5/2025,C09210,VIP,B05,Jeddah North,Jeddah,Makkah,21.65,39.122,In-store,Cash,P001,Headphones 1,Electronics,1,360.98,0%,182.01,360.98,182.01,178.97,2025,,,
23,O000011,4/5/2025,C09210,VIP,B05,Jeddah North,Jeddah,Makkah,21.65,39.122,In-store,Cash,P044,Backpack 4,Fashion,1,77.12,15%,60.65,65.55,60.65,4.9,2025,,,
24,O000011,4/5/2025,C09210,VIP,B05,Jeddah North,Jeddah,Makkah,21.65,39.122,In-store,Cash,P042,Backpack 2,Fashion,2,239.05,0%,188.28,478.1,376.56,101.54,2025,,,
25,O000012,1/2/2025,C04246,Regular,B05,Jeddah North,Jeddah,Makkah,21.65,39.122,In-store,Apple Pay,P035,Jacket 3,Fashion,2,439.82,0%,326.19,879.64,652.38,227.26,2025,,,
26,O000012,1/2/2025,C04246,Regular,B05,Jeddah North,Jeddah,Makkah,21.65,39.122,In-store,Apple Pay,P051,Fragrance 3,Beauty,3,404.75,0%,260.93,1214.25,782.79,431.46,2025,,,
27,O000012,1/2/2025,C04246,Regular,B05,Jeddah North,Jeddah,Makkah,21.65,39.122,In-store,Apple Pay,P002,Headphones 2,Electronics,1,114.73,5%,57.18,108.99,57.18,51.81,2025,,,
28,O000012,1/2/2025,C04246,Regular,B05,Jeddah North,Jeddah,Makkah,21.65,39.122,In-store,Apple Pay,P023,Cookware 3,Home,1,341.95,0%,158.13,341.95,158.13,183.82,2025,,,
29,O000013,10/6/2024,C00328,New,B10,Dammam Center,Dammam,Eastern Province,26.4207,50.0888,Online,Cash,P080,Office Chair 4,Office,2,403.05,10%,222.42,725.49,444.84,280.65,2024,,,
30,O000014,12/5/2024,C03494,New,B19,Buraydah Center,Buraydah,Qassim,26.3592,43.9818,In-store,Cash,P043,Backpack 3,Fashion,1,158.81,0%,92.05,158.81,92.05,66.76,2024,,,
31,O000014,12/5/2024,C03494,New,B19,Buraydah Center,Buraydah,Qassim,26.3592,43.9818,In-store,Cash,P078,Office Chair 2,Office,3,765.34,20%,369.32,1836.82,1107.96,728.86,2024,,,
32,O000015,3/22/2025,C07446,VIP,B12,Dhahran Center,Dhahran,Eastern Province,26.2886,50.1139,In-store,Mada,P072,Sports Bottle 4,Sports,1,44.22,5%,27.48,42.01,27.48,14.53,2025,,,
33,O000016,2/11/2025,C09197,VIP,B04,Riyadh East,Riyadh,Riyadh,24.772,46.806,In-store,Apple Pay,P063,Fitness Mat 3,Sports,1,124.64,30%,84.19,87.25,84.19,3.06,2025,,,
34,O000016,2/11/2025,C09197,VIP,B04,Riyadh East,Riyadh,Riyadh,24.772,46.806,In-store,Apple Pay,P030,Coffee Maker 2,Home,1,359.88,10%,233.11,323.89,233.11,90.78,2025,,,
35,O000017,5/4/2025,C02099,New,B03,Riyadh South,Riyadh,Riyadh,24.635,46.721,In-store,Visa,P059,Hair Care 3,Beauty,1,138.8,10%,94.28,124.92,94.28,30.64,2025,,,
36,O000018,8/12/2025,C10120,Regular,B08,Makkah Center,Makkah,Makkah,21.3891,39.8579,In-store,Visa,P016,Speaker 4,Electronics,1,289.71,0%,227.08,289.71,227.08,62.63,2025,,,
37,O000018,8/12/2025,C10120,Regular,B08,Makkah Center,Makkah,Makkah,21.3891,39.8579,In-store,Visa,P010,Power Bank 2,Electronics,2,88.49,5%,48.88,168.13,97.76,70.37,2025,,,
38,O000018,8/12/2025,C10120,Regular,B08,Makkah Center,Makkah,Makkah,21.3891,39.8579,In-store,Visa,P032,Coffee Maker 4,Home,2,446.05,10%,302.9,802.89,605.8,197.09,2025,,,
39,O000018,8/12/2025,C10120,Regular,B08,Makkah Center,Makkah,Makkah,21.3891,39.8579,In-store,Visa,P014,Speaker 2,Electronics,1,113.38,20%,61.66,90.7,61.66,29.04,2025,,,
40,O000019,6/25/2024,C00205,VIP,B10,Dammam Center,Dammam,Eastern Province,26.4207,50.0888,In-store,Mada,P068,Dumbbell Set 4,Sports,1,358.1,5%,174.58,340.19,174.58,165.61,2024,,,
41,O000019,6/25/2024,C00205,VIP,B10,Dammam Center,Dammam,Eastern Province,26.4207,50.0888,In-store,Mada,P074,Notebook Set 2,Office,1,47.51,5%,32.61,45.13,32.61,12.52,2024,,,
42,O000019,6/25/2024,C00205,VIP,B10,Dammam Center,Dammam,Eastern Province,26.4207,50.0888,In-store,Mada,P064,Fitness Mat 4,Sports,4,179.94,0%,129.26,719.76,517.04,202.72,2024,,,
43,O000020,10/21/2024,C08430,New,B10,Dammam Center,Dammam,Eastern Province,26.4207,50.0888,In-store,Cash,P039,Sneakers 3,Fashion,1,550.63,10%,375.84,495.57,375.84,119.73,2024,,,
44,O000020,10/21/2024,C08430,New,B10,Dammam Center,Dammam,Eastern Province,26.4207,50.0888,In-store,Cash,P069,Sports Bottle 1,Sports,2,85.07,0%,61.34,170.14,122.68,47.46,2024,,,
45,O000021,4/30/2025,C04877,New,B05,Jeddah North,Jeddah,Makkah,21.65,39.122,Online,Mada,P074,Notebook Set 2,Office,1,47.84,0%,32.61,47.84,32.61,15.23,2025,,,
46,O000021,4/30/2025,C04877,New,B05,Jeddah North,Jeddah,Makkah,21.65,39.122,Online,Mada,P040,Sneakers 4,Fashion,1,476.05,0%,280.77,476.05,280.77,195.28,2025,,,
47,O000022,2/1/2025,C03321,Regular,B01,Riyadh North,Riyadh,Riyadh,24.7743,46.7386,In-store,Cash,P042,Backpack 2,Fashion,2,258.16,0%,188.28,516.32,376.56,139.76,2025,,,
48,O000022,2/1/2025,C03321,Regular,B01,Riyadh North,Riyadh,Riyadh,24.7743,46.7386,In-store,Cash,P048,T-Shirt 4,Fashion,1,106.09,30%,62.15,74.26,62.15,12.11,2025,,,
49,O000023,11/24/2024,C09067,VIP,B11,Khobar Center,Khobar,Eastern Province,26.2172,50.1971,In-store,Visa,P064,Fitness Mat 4,Sports,1,178.17,0%,129.26,178.17,129.26,48.91,2024,,,
50,O000023,11/24/2024,C09067,VIP,B11,Khobar Center,Khobar,Eastern Province,26.2172,50.1971,In-store,Visa,P061,Fitness Mat 1,Sports,1,92,0%,48.43,92,48.43,43.57,2024,,,
51,O000023,11/24/2024,C09067,VIP,B11,Khobar Center,Khobar,Eastern Province,26.2172,50.1971,In-store,Visa,P036,Jacket 4,Fashion,1,160.91,0%,115.15,160.91,115.15,45.76,2024,,,
52,O000024,1/10/2024,C00128,VIP,B09,Taif Center,Taif,Makkah,21.2703,40.4158,In-store,Visa,P036,Jacket 4,Fashion,1,174.12,20%,115.15,139.3,115.15,24.15,2024,,,
53,O000025,7/27/2024,C02433,Regular,B02,Riyadh Center,Riyadh,Riyadh,24.7136,46.6753,In-store,Cash,P061,Fitness Mat 1,Sports,2,96.48,0%,48.43,192.96,96.86,96.1,2024,,,
54,O000025,7/27/2024,C02433,Regular,B02,Riyadh Center,Riyadh,Riyadh,24.7136,46.6753,In-store,Cash,P058,Hair Care 2,Beauty,1,50.24,0%,30.17,50.24,30.17,20.07,2024,,,
55,O000026,9/5/2024,C07174,VIP,B02,Riyadh Center,Riyadh,Riyadh,24.7136,46.6753,In-store,Visa,P069,Sports Bottle 1,Sports,1,87.37,10%,61.34,78.63,61.34,17.29,2024,,,
56,O000027,11/29/2025,C10601,Regular,B04,Riyadh East,Riyadh,Riyadh,24.772,46.806,In-store,Mada,P004,Headphones 4,Electronics,2,405.81,10%,304.54,730.46,609.08,121.38,2025,,,
57,O000027,11/29/2025,C10601,Regular,B04,Riyadh East,Riyadh,Riyadh,24.772,46.806,In-store,Mada,P011,Power Bank 3,Electronics,2,99.68,0%,59.85,199.36,119.7,79.66,2025,,,
58,O000028,7/25/2025,C09891,New,B06,Jeddah Center,Jeddah,Makkah,21.5433,39.1728,In-store,Mada,P075,Notebook Set 3,Office,2,19.53,0%,15.85,39.06,31.7,7.36,2025,,,
59,O000029,2/26/2025,C00471,VIP,B14,Yanbu Center,Yanbu,Madinah,24.0895,38.0618,Online,Mada,P055,Skin Care 3,Beauty,1,161.81,0%,83.95,161.81,83.95,77.86,2025,,,
60,O000029,2/26/2025,C00471,VIP,B14,Yanbu Center,Yanbu,Madinah,24.0895,38.0618,Online,Mada,P014,Speaker 2,Electronics,2,114.28,0%,61.66,228.56,123.32,105.24,2025,,,
61,O000030,12/3/2024,C04400,Regular,B05,Jeddah North,Jeddah,Makkah,21.65,39.122,Online,Mastercard,P057,Hair Care 1,Beauty,3,118.16,0%,55.23,354.48,165.69,188.79,2024,,,
62,O000031,2/4/2025,C00533,New,B05,Jeddah North,Jeddah,Makkah,21.65,39.122,In-store,Mastercard,P002,Headphones 2,Electronics,1,120.8,10%,57.18,108.72,57.18,51.54,2025,,,
63,O000031,2/4/2025,C00533,New,B05,Jeddah North,Jeddah,Makkah,21.65,39.122,In-store,Mastercard,P021,Cookware 1,Home,2,376.33,0%,213.59,752.66,427.18,325.48,2025,,,
64,O000031,2/4/2025,C00533,New,B05,Jeddah North,Jeddah,Makkah,21.65,39.122,In-store,Mastercard,P077,Office Chair 1,Office,1,431.01,15%,341.46,366.36,341.46,24.9,2025,,,
65,O000031,2/4/2025,C00533,New,B05,Jeddah North,Jeddah,Makkah,21.65,39.122,In-store,Mastercard,P027,Desk Lamp 3,Home,1,64.46,0%,35.23,64.46,35.23,29.23,2025,,,
66,O000032,8/7/2024,C04610,Regular,B01,Riyadh North,Riyadh,Riyadh,24.7743,46.7386,In-store,Cash,P079,Office Chair 3,Office,3,1047.89,0%,712.52,3143.67,2137.56,1006.11,2024,,,
67,O000032,8/7/2024,C04610,Regular,B01,Riyadh North,Riyadh,Riyadh,24.7743,46.7386,In-store,Cash,P013,Speaker 1,Electronics,1,116.56,0%,85.82,116.56,85.82,30.74,2024,,,
68,O000033,2/29/2024,C00003,VIP,B15,Abha Center,Abha,Asir,18.2465,42.5117,Online,Mada,P020,Bedding Set 4,Home,1,214.82,0%,135.93,214.82,135.93,78.89,2024,,,
69,O000033,2/29/2024,C00003,VIP,B15,Abha Center,Abha,Asir,18.2465,42.5117,Online,Mada,P028,Desk Lamp 4,Home,2,77.14,0%,41.45,154.28,82.9,71.38,2024,,,
70,O000033,2/29/2024,C00003,VIP,B15,Abha Center,Abha,Asir,18.2465,42.5117,Online,Mada,P038,Sneakers 2,Fashion,1,200.3,15%,113.57,170.25,113.57,56.69,2024,,,
71,O000034,7/28/2024,C11453,New,B18,Tabuk Center,Tabuk,Tabuk,28.3998,36.5715,In-store,Mastercard,P027,Desk Lamp 3,Home,2,72.64,0%,35.23,145.28,70.46,74.82,2024,,,
72,O000034,7/28/2024,C11453,New,B18,Tabuk Center,Tabuk,Tabuk,28.3998,36.5715,In-store,Mastercard,P007,Smart Watch 3,Electronics,3,474.39,5%,262.28,1352.01,786.84,565.17,2024,,,
73,O000035,5/15/2024,C09944,New,B02,Riyadh Center,Riyadh,Riyadh,24.7136,46.6753,In-store,Mastercard,P073,Notebook Set 1,Office,3,75.55,0%,36.28,226.65,108.84,117.81,2024,,,
74,O000035,5/15/2024,C09944,New,B02,Riyadh Center,Riyadh,Riyadh,24.7136,46.6753,In-store,Mastercard,P047,T-Shirt 3,Fashion,1,73.53,0%,56.49,73.53,56.49,17.04,2024,,,
75,O000036,7/10/2025,C01917,Regular,B07,Jeddah South,Jeddah,Makkah,21.42,39.235,In-store,Mastercard,P071,Sports Bottle 3,Sports,1,36.58,10%,27.49,32.92,27.49,5.43,2025,,,
76,O000036,7/10/2025,C01917,Regular,B07,Jeddah South,Jeddah,Makkah,21.42,39.235,In-store,Mastercard,P036,Jacket 4,Fashion,1,178.23,0%,115.15,178.23,115.15,63.08,2025,,,
77,O000036,7/10/2025,C01917,Regular,B07,Jeddah South,Jeddah,Makkah,21.42,39.235,In-store,Mastercard,P002,Headphones 2,Electronics,2,110.63,10%,57.18,199.13,114.36,84.77,2025,,,
78,O000037,1/17/2024,C05348,New,B06,Jeddah Center,Jeddah,Makkah,21.5433,39.1728,In-store,Cash,P048,T-Shirt 4,Fashion,1,106.72,5%,62.15,101.38,62.15,39.23,2024,,,
79,O000037,1/17/2024,C05348,New,B06,Jeddah Center,Jeddah,Makkah,21.5433,39.1728,In-store,Cash,P025,Desk Lamp 1,Home,3,48.67,30%,25.89,102.21,77.67,24.54,2024,,,
80,O000037,1/17/2024,C05348,New,B06,Jeddah Center,Jeddah,Makkah,21.5433,39.1728,In-store,Cash,P012,Power Bank 4,Electronics,2,160.95,10%,80.03,289.71,160.06,129.65,2024,,,
81,O000037,1/17/2024,C05348,New,B06,Jeddah Center,Jeddah,Makkah,21.5433,39.1728,In-store,Cash,P031,Coffee Maker 3,Home,1,661.62,20%,352.34,529.3,352.34,176.96,2024,,,
82,O000038,5/11/2025,C01151,Regular,B11,Khobar Center,Khobar,Eastern Province,26.2172,50.1971,Online,Mada,P054,Skin Care 2,Beauty,1,249.9,5%,186.83,237.41,186.83,50.57,2025,,,
83,O000038,5/11/2025,C01151,Regular,B11,Khobar Center,Khobar,Eastern Province,26.2172,50.1971,Online,Mada,P011,Power Bank 3,Electronics,4,97.92,0%,59.85,391.68,239.4,152.28,2025,,,
84,O000039,10/9/2025,C03558,Regular,B11,Khobar Center,Khobar,Eastern Province,26.2172,50.1971,In-store,Mastercard,P078,Office Chair 2,Office,1,786,0%,369.32,786,369.32,416.68,2025,,,
85,O000039,10/9/2025,C03558,Regular,B11,Khobar Center,Khobar,Eastern Province,26.2172,50.1971,In-store,Mastercard,P066,Dumbbell Set 2,Sports,1,123.41,10%,88.83,111.07,88.83,22.24,2025,,,
86,O000040,8/23/2025,C08852,New,B01,Riyadh North,Riyadh,Riyadh,24.7743,46.7386,In-store,Cash,P052,Fragrance 4,Beauty,2,498.75,10%,278.76,897.75,557.52,340.23,2025,,,
87,O000040,8/23/2025,C08852,New,B01,Riyadh North,Riyadh,Riyadh,24.7743,46.7386,In-store,Cash,P024,Cookware 4,Home,1,291.16,15%,204.59,247.49,204.59,42.9,2025,,,
88,O000041,2/15/2024,C06957,Regular,B03,Riyadh South,Riyadh,Riyadh,24.635,46.721,In-store,Mada,P042,Backpack 2,Fashion,1,249.84,10%,188.28,224.86,188.28,36.58,2024,,,
89,O000041,2/15/2024,C06957,Regular,B03,Riyadh South,Riyadh,Riyadh,24.635,46.721,In-store,Mada,P036,Jacket 4,Fashion,2,180.15,0%,115.15,360.3,230.3,130,2024,,,
90,O000042,9/23/2025,C01388,VIP,B08,Makkah Center,Makkah,Makkah,21.3891,39.8579,In-store,Apple Pay,P045,T-Shirt 1,Fashion,1,171.07,5%,91.57,162.52,91.57,70.95,2025,,,
91,O000043,8/15/2024,C10819,Regular,B11,Khobar Center,Khobar,Eastern Province,26.2172,50.1971,Online,Visa,P053,Skin Care 1,Beauty,1,189.97,5%,91.8,180.47,91.8,88.67,2024,,,
92,O000044,8/1/2024,C00252,Regular,B19,Buraydah Center,Buraydah,Qassim,26.3592,43.9818,In-store,Mastercard,P018,Bedding Set 2,Home,1,369.58,0%,277.26,369.58,277.26,92.32,2024,,,
93,O000044,8/1/2024,C00252,Regular,B19,Buraydah Center,Buraydah,Qassim,26.3592,43.9818,In-store,Mastercard,P063,Fitness Mat 3,Sports,2,120.11,5%,84.19,228.21,168.38,59.83,2024,,,
94,O000045,3/16/2024,C09503,New,B10,Dammam Center,Dammam,Eastern Province,26.4207,50.0888,Online,Mastercard,P015,Speaker 3,Electronics,2,509.03,0%,345.34,1018.06,690.68,327.38,2024,,,
95,O000045,3/16/2024,C09503,New,B10,Dammam Center,Dammam,Eastern Province,26.4207,50.0888,Online,Mastercard,P050,Fragrance 2,Beauty,2,383.82,15%,223.25,652.49,446.5,205.99,2024,,,
96,O000046,6/6/2025,C06136,VIP,B04,Riyadh East,Riyadh,Riyadh,24.772,46.806,In-store,Visa,P057,Hair Care 1,Beauty,1,101.69,0%,55.23,101.69,55.23,46.46,2025,,,
97,O000046,6/6/2025,C06136,VIP,B04,Riyadh East,Riyadh,Riyadh,24.772,46.806,In-store,Visa,P029,Coffee Maker 1,Home,1,651.37,5%,474.65,618.8,474.65,144.15,2025,,,
98,O000047,11/4/2025,C03987,VIP,B15,Abha Center,Abha,Asir,18.2465,42.5117,In-store,Mada,P060,Hair Care 4,Beauty,3,87.08,20%,59.06,208.99,177.18,31.81,2025,,,
99,O000048,12/30/2025,C00174,Regular,B01,Riyadh North,Riyadh,Riyadh,24.7743,46.7386,In-store,Apple Pay,P028,Desk Lamp 4,Home,2,73.91,0%,41.45,147.82,82.9,64.92,2025,,,
100,O000048,12/30/2025,C00174,Regular,B01,Riyadh North,Riyadh,Riyadh,24.7743,46.7386,In-store,Apple Pay,P038,Sneakers 2,Fashion,4,212.74,0%,113.57,850.96,454.28,396.68,2025,,,
101,O000049,5/9/2025,C04714,Regular,B08,Makkah Center,Makkah,Makkah,21.3891,39.8579,Online,Visa,P010,Power Bank 2,Electronics,2,83.37,0%,48.88,166.74,97.76,68.98,2025,,,
102,O000050,2/24/2024,C04884,Regular,B18,Tabuk Center,Tabuk,Tabuk,28.3998,36.5715,Online,Mastercard,P003,Headphones 3,Electronics,2,313.74,0%,159.42,627.48,318.84,308.64,2024,,,
103,O000050,2/24/2024,C04884,Regular,B18,Tabuk Center,Tabuk,Tabuk,28.3998,36.5715,Online,Mastercard,P051,Fragrance 3,Beauty,2,468.75,0%,260.93,937.5,521.86,415.64,2024,,,
104,O000050,2/24/2024,C04884,Regular,B18,Tabuk Center,Tabuk,Tabuk,28.3998,36.5715,Online,Mastercard,P021,Cookware 1,Home,1,356,0%,213.59,356,213.59,142.41,2024,,,
105,O000050,2/24/2024,C04884,Regular,B18,Tabuk Center,Tabuk,Tabuk,28.3998,36.5715,Online,Mastercard,P059,Hair Care 3,Beauty,2,129.76,0%,94.28,259.52,188.56,70.96,2024,,,
